scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
L2 D' B U2 D2 F' R2 U2 R2 D U2 L' D' F' D' R' L' F2 U2 R' F2 D' R' F' B',x2,R2 D' B' L2 D' L,U2 R' D' F' D R,U B2 R' U' R U B2,B' U B2 L' B' U2 L,D B' U B D',U F' U' F U F R' F' R,U L' B R' U2 L F' L R2 D2 R2 F L' R,54
F B D2 R B2 D' F' L' D2 R2 L' U' F B L U' B F' U2 B' U2 D B2 D2,x2,D' L' B' R' F' D2,U' R U2 R',L U' F' U2 F L',L2 U' L U L2,B U' L U2 L' U2 B',U F B' U' R' U R B U F',U' L U' F R' F' L' F R F' U' L U2 L',52
L' D L U' R2 B' L F2 L' D B' L D F' D' F2 B2 R U' D',x2,R D L D B F',F L2 F2 L2 F',D' B' U B D,L' U2 B' U B U' L,B2 R B2 R',F L' U2 L U2 L F2 L' F,U L' B R' U2 L F' L R2 D2 R2 F L' R U',51
B' F U' B F2 D2 F' L2 R' F' R U F2 L F2 U' R F' U L2 R F L,x2,R' F2 L2 B' D' B2,B' F' U B U F,U B2 D' B U' B' D B2,U' R' F U F' R,U2 L' B2 L B2,F' U2 R' U' R2 B' R' B2 U' F B',B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',56
L' F R' U L F2 U R U L B2 F2 L2 F' R2 D2 L B D2 L',x2,B' R F' D L' D,L' B2 D' R D B2 L,L2 F' L' F U2 L',F R' U2 R F',B U F' U' B' F,U2 F U R2 D R' U' R D' R2 F',F2 U' L R' F2 L' R U' F2 U2,51
U F B2 L2 D' F2 L F2 B' U' D' F' U D R' B2 R D B' U' F L,x2,U2 F2 D' R2 F2,D B' D2 F D2 B D',B' R U2 R' B,F R U2 R' U2 F',L' B2 L' B2 L2,U2 F R U' B U B' U R' U' F',F2 L2 U' L2 D F2 D' F2 U F2 U',50
L2 R' D' B R F' B' R' F2 R2 L2 U D R U2 B2 F L' F' L U,x2,R' D' L R2 B D B2,B' D' R D B,U2 L U L',L' U B' U2 B L,U B U2 B2 R B R',U2 F' U B L U L' U' F B',U' F2 U' L R' F2 L' R U' F2 U2,50
D2 U' L' U2 L2 B2 U D2 F' L' B2 L R' D2 U' B U B D2 R2 U',x2,U2 F2 L' D B F' L,L F' L' U2 F,L U' F U2 F' L',F U2 F' L' U' L,R' U' L U L' R,U' R' F' R B R' U' F U R B',L U' F R' F' L' F R F' U' L U2 L',54
R2 L' F' B' L2 B' L' U' B D2 U2 B F' U' L F D' B' D' R' U2 R',x2,F2 D F L R' B D',F2 U' F U F2,U2 L F U2 F' U L',F U2 F2 D' L' D F,B2 U2 B U2 B2,L' U' L B L' B' U B L B',F' L F L' R' F L R' F L' F' R2,53
L2 U' L2 D2 L2 D' R2 D' L' U R' B F U2 D F U2 B F R' L2 B2 U2 F' U',x2,L2 B R2 D' B L',U2 R2 D R' U R D' R2,D' R' U2 R D,L' R U L R',U L' B U2 B' L,B L U L' U' B',L' R' U2 L R F U' B U2 F' U B',48
U2 R2 D2 L2 R2 B' F' R2 B2 F2 U L2 R2 D' F' L' U' L2 R2 F' U' R U',x2,R' D' L2 B' R,R B' R B R2,B' R' U2 R B,L' F' L' F L,B U' L U2 L' U2 B',F R B' R B R2 F',U L R U2 R' U' R U2 L' U R',45
L' D' R2 F2 L2 B2 U2 L2 B R' D R F R2 F2 D B U B2 L',x2,L' D' B F' L' B,U R' U' R2 U2 R',L' D' U2 B D L,F U2 R U2 R' F',F R' U' R F',U L D2 R2 F R2 D2 L2 B L,U L' R' U2 L R F U' B U2 F' U B' U',53
D' U R B' D2 F L2 U2 R2 L' U' L' U B' D R2 D2 R2 D B',x2,D2 F2 D L' B' D,U2 L2 F2 L' F2 L',U2 B' U B,B2 L2 B' L2 B',U' R B' R' B2 U B',B' R2 F R F' R B,L2 U F' B L2 F B' U L2 U' U,46
F2 B R2 L F L D2 F' B2 U L' B' U F2 D U B L2 F' L D L' R D2 R2,x2,U B D' R B L',R2 U B' U' B R2,B D B' U' B D' B',B' U2 B L' U' L,,U B' R B2 R' U2 R' U2 R B',U' B2 D F2 D R2 F D B' D2 F D' B' U',49
F2 D2 U2 R' B' L' B U2 F2 L2 U L' F U L' U' B2 L R D U2 F B' D' B',x2,F2 R' B D F R2,U2 B U2 B' R U R',R' B' U' B R,R' U2 F2 R F2,U R2 U2 R U R' U R2,F U R2 D R' U' R D' R2 F',U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,56
R F2 U2 D2 F2 U2 F2 R' F' U' L U2 L2 R2 U L2 U2 D' B2 F2 L2 B2,x2,B R2 F2 L' D L',D2 B' U B D2,B' L' B' L B,U L' U' B' U2 B U2 L,D2 B U2 B' D2,F' U' L' U L F,B2 R U' L U2 R' U L' R2 B2 R2 U B2,48
U2 F2 D2 F' D2 F2 R D' U' R' D2 L2 F D L' U2 D B D F' U B U' L2 U,x2,U F D B L' D,F' U F,F2 D2 B D2 F2,B' U B L' U2 L,R' U2 F' U' F U' R,U L' U' L B L' B' U B L B',U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',51
L2 F L2 U B' U F B U2 R2 D R2 U' D2 L F D2 U B' D L' U',x2,B' L' B D2,U' L F' U' F L',L U2 L' U' L U L',B2 L' B2 U2 L,R' U' R,U' L D2 R2 F R2 D2 L2 B L,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',48
B2 F D' R L2 B' U L2 R2 B R L2 B L2 D' L2 F R' B2 R F2 L2 B2 F,x2,D R2 B2 L' D',R U2 L U' L' R',B' U2 B U B' U' B,U2 F U' F',D B' U B D',U' F2 D' B L2 B' D F U2 F,U' L2 U F' B L2 F B' U L2 U' U2,49
D' U R F2 D' R' L' U2 R' B' R L B2 F' U2 F' U2 R U F' U' B D,x2,B D' B D2 R' B D,U' F' U' F,R B' U' B R',D' B' U' B D,L' U B2 L B2,U' B' U2 B2 U B2 U B2 U2 B',U' F2 L2 U' L2 D F2 D' F2 U F2 U,48
L2 R2 B' R U2 F2 D2 B2 F D F2 L2 F' U2 F D' F' D L' D B' U L2 R',x2,D' F D,U2 R2 F R2 F',B U2 B2 U' B,U' L' U' L,U F R' U' R F',U F' U' F U F R' F' R,U2 B2 D F2 D R2 F D B' D2 F D' B' U',46
F' U B' L' R2 U2 B' F' U D L U B D' F' R2 U' R2 D' F' D2 B R L' U,x2,D2 B' F2 D R' B,L2 F' L2 U2 F,U2 L U L',B' F2 U' B U F2,U2 R' U' F R' F' R2,R' U' R U' R' U2 R,R' D B2 L2 D L' F2 L D' L2 B2 D' R U2,49
D2 F' R2 L2 D L' B' R' B' U2 B' R' U2 L2 R' D2 L2 D2 L' D' F L' B' L2,x2,U R2 B' D' L B',R F R' F' R',F' L2 F L' U2 L',U R2 F2 R F2 R,U2 R2 D' R U' R' D R2,F2 D' B L B' D F L' U' L F,U' L' U2 L F R U' R' U' F' U' L F' L' F,57
B L2 R2 U F2 U' F' L' U F' R' U2 F' U' L2 R' F' U' F2 L R,x2,D R D L' D R',L F2 L' F U' F,L U2 L' U' L U L',F R' F R F2,U' R' U2 R U' B U B',L' U2 L F R2 B' R' B U2 R' F',U,44
U D F B L2 R' B F D B' D' L2 U2 D' R2 B L2 U F L2 R' F B' R2,x2,D F' L F2 R B D',U2 F' U' F,B' U2 B L U L',U2 L D F D' L',R' U2 R U R' U' R,U2 F R U R2 U' R F' R' U R,U L' B R' U2 L F' L R2 D2 R2 F L' R U',56
B D L2 D2 U B2 U2 B2 R' U' F' B L F U2 R2 F U' R' L2,x2,D2 R B2 D' L',R2 B' U R2 B U' R2,U' B' R' U2 R B,B2 L2 B2 L2,B U R B R' B',R B R' F' R U B' U' R' F,U' R2 B2 R F R' B2 R F' R U2 U',50
R2 L B' R2 U' B2 L2 R' U' B U L' B D' U' R2 F' B2 R' F2 B2 R2 B2 R2 L',x2,R2 B' D L R D2 B,R F R F' R',D B' U2 B D',U' L' U' L,B L U L' U2 B',U' B' U2 B2 U B2 U B2 U2 B',B2 D F2 D R2 F D B' D2 F D' B' U' U,51
L2 U L' U B F2 U L D' U' B R' F2 D2 F U2 B' R B' L F' L2 R' B' R2,x2,D L F' D2 L2 F',U' R U R',U L' U2 L2 U' L',F U2 F D R2 D' F2,R' B' R' U' R U B R,U B' U2 F' B U L2 U L2 U' L2 F,B2 D F2 D R2 F D B' D2 F D' B' U' U',57
B D2 B R2 B L R U2 B U' B' U2 L' R U' B' L' D' B2 U,x2,F U' R2 F,L' R U' L R',D' L U L' D,B U B' L' U' L,R' F' U' F U2 R,L F' L' F U F U' F',U F2 L2 U' L2 D F2 D' F2 U F2,45
D2 R2 F R D L B' D B2 L R' U' L' B2 L2 B2 R' B' R F2 U F' B' L2 R2,x2,R' F' D' B2 L R,F' U2 R' F R F,B' U2 B L U L',F2 R' F' R U2 F',F R' U2 R F',U2 L U2 F' L' U' L U F2 U2 F' L',U2 R' U L' U R U2 F R B2 R' F' B2 U L,56
U' D B2 R2 L B' F D' B2 U' F' D' U2 F U D2 L' B' U B2 D' F' L,x2,D' U' F R' D2,B2 R B2 U2 R',L U2 F' L F L2,L2 U L' U' L2,R' U' R,U2 F2 B' R F' R B U2 B' R F' B,U B2 D F2 D R2 F D B' D2 F D' B' U',50
B' D2 B L2 U' F' U' L2 U F B2 L' B U' R2 B2 D' R2 U F R B,x2,U' R' B L' R B2,L F' U2 F L',B' U' B' R B R' U2 B,D' B' U' B D,R2 D U' B2 D',U B' U2 F' B U L2 U L2 U' L2 F,U' B2 D' F2 D' L2 F' D' B D2 F' D B,54
U B' U2 F' B R F' L' U2 R2 U2 B' F D2 R B' U' D2 B' F,x2,F L B2 R' F' D',F' U F U' R U R',U' F' L2 F L2,U R' F R U2 F',U' R2 U' R' U R2,U B' R' U' R U R' U' R U B,U' L2 U F' B L2 F B' U L2 U' U,53
L2 R U R2 F' U L2 B F2 D2 L2 D' U' R2 L2 B' R2 F B2 L' U',x2,F D B' F D2,U R' F R F2 U' F,F' U L2 F L2,D R U R' D',B L' B L B2,L D2 R2 F R2 D2 L2 B L,L R U2 R' U' R U2 L' U R' U,47
B D2 F2 R2 F B' R B U' D F2 B2 L F2 L' F D' L' D L',x2,B' D' L' D2 B F,B' D2 F D2 B,R B2 R' B2,F2 R' F' U R F',R' U2 R U' B U B',B L F' L F L2 B',U' L' U2 L F R U' R' U' F' U' L F' L' F U',51
L F R2 B' F2 D' L2 U' R' D2 F2 D' U' F2 D2 F' U2 F U R L2 U2 D',x2,U B' R2 D R2,B2 R2 D' R D R B2,U B' R B' R' B U' B,L' B L' B' L2,U2 R2 B' R2 B,B' R2 F R F' R B,B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2,51
R D L2 D' F' R U' L' F2 D F' U2 B L2 F2 U2 F D' U' R2 B L' U2 B,x2,B' L F' D B D2,R F U F' U2 R',L U' R' U' L' R,F2 U F2 U F2 U2 F2,U2 R' F U2 F' R,U F' U2 F2 U F' U F U2 R' F' R,U R' U L' U R U2 F R B2 R' F' B2 U L U,59
U' B' D R' L' D R2 F' L' F' B' D2 B U' B2 U' L D' U F2,x2,D B F' D L' B,U R U B' R B R2,U' B' U' B,D R' F2 R F2 D',B2 U B2 U' B2,F' L' U' L2 U F U' F' L' F,U2 L' U2 L F R U' R' U' F' U' L F' L' F U2,54
R F2 U' L F' U D' L' R' F' B2 U' B R2 U' R2 L' B R' L2 F2,x2,F D2 R F D F',B U' B' R U2 R',B' R' U' R U' B,L' U2 L F U F',R' B' U B R,U' B' R B R' U2 B2 L' B' L B',U L' U2 L F R U' R' U' F' U' L F' L' F U2,56
B F' D' U F' B L' D' F' U2 D F2 B2 U R2 D L' D F' D2 B' R2,x2,D L' D B R D,B U2 B' U' F' U' F,R B2 R' B2,F2 L F2 L',F' L2 B2 L B2 L F,U2 F' U' L2 D' L U L' D L2 F,U F' L F L' R' F L R' F L' F' R2,52
L' F B' R D2 L' B' L' B2 F U' R' U' B' R L' U' R2 F' U' R L' U B,x2,B' L' F' R' D' B,R F R' U2 F' R',D' R' U' R D,U L' U2 L,F' L2 B2 L B2 L F,U' L F2 R' D R' D' R2 F2 L',U' L U' F R' F' L' F R F' U' L U2 L',52
L2 F2 R2 L U D' F2 B2 L U' B D2 B U B' R U2 D2 B2 R F2 D' B' D R,x2,R2 B F2 D F' L',U B U B' F' U' F,L U' F U2 F' L',U F' D' L' D F,U B U B',B' R B2 R' U2 R' U2 R B',L' B R' U2 L F' L R2 D2 R2 F L' R,51
F' D' B2 F' R' U L' R U' D' L' B' F2 R L' F L D' R U,x2,L R' B' D R F',D2 B' U2 B D2,U' B2 R2 F R F' R B2,U L' U' L,R' U' L U' L' U R,L' U2 L2 F' L' F L' U2 L,U' U' B2 D' F2 D' L2 F' D' B D2 F' D B,53
U' L' U2 B' R2 D R2 U2 R2 B' L' F' U D' F U2 F D L' F' B' D' F R F2,x2,R2 D' B2 L' R,D B U B' D',L B' R B L' R',L2 B' U' B U L2,B U' L U2 L' U2 B',R U R' U R U2 R',L' U2 L F R U' R' U' F' U' L F' L' F U2,51
L2 D2 F' U2 L' F L2 F2 D' U2 L' R' F2 L U2 D2 B' D' U R2 F2 R' L2,x2,U' L2 B L' D R2 B,L' U' L R U R',B2 R B R2 U2 R B,B' F U B U' F',R' U' R2 B' R' B2 U B',L F' L' F U F U' F',U' B' R B' L2 B R' B' L2 B2 U',53
L U2 R2 D L B' F R' D L D U2 F2 D2 F2 U D L D F2,x2,D' F L R2 D2 B F',D' R U' R' D,L2 D L' U L D' L2,U2 B U' L2 B' L2,U' L R' U L' R,U' L F' U' F2 U' F2 U2 F U' L',F2 L2 U' L2 D F2 D' F2 U F2 U,53
U' D' F L2 R' D2 U L U D' B2 U L2 B L D R B L R' U D L R',x2,F' R2 B2 D F' L',U' L F' U' F L',D' U' B' U B D,L' U2 B' U2 B U' L,R U2 R2 U' R,B' U' R' U R B,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,51
F2 L' D' U L2 F' B' R' U' R2 B' D F' L2 D B R' U F R2 L2 U2 D' F,x2,B' R2 B' L' D R',R' U2 R2 U R2 U R,B' U2 B U B' U' B,U' F L F L' F',R' B2 R B2 R,L D2 R2 F R2 D2 L2 B L,U2 L2 U F' B L2 F B' U L2 U' U2,52
B2 U' R2 F U2 F2 U' R' B U' B2 D L B2 F2 D' R' F' U2 D2 L2 D2,x2,D' B' L' D' L' F' L,D' R U' R' D,F' L2 F L' U L',F U R' U R F',U' R' U' F R' F' R2,U L D2 R2 F R2 D2 L2 B L,U L R U2 R' U' R U2 L' U R',52
R' B' L R' D F' B' L' B' D' L' R' B' R' U D2 R2 U2 R2 B' R',x2,D' R U B L' F' D,U2 L F2 L' F2,D' B U' B' D,D2 B U B' D2,B U B' U R' U' R,U L D2 R2 F R2 D2 L2 B L,U2 F2 U' L R' F2 L' R U' F2 U2 U2,51
U2 R F2 U2 L' D' R2 B L' B2 U D' B2 R2 F2 L' U2 L2 B2 R' B2 F' R2 L B',x2,B' D2 F R D L,B' F2 R2 B F2 R2,D' B U B' D,U' L' U2 B' U2 B L,U2 L2 B2 L B2 L,F' U B L U L' U' F B',B' R B' L2 B R' B' L2 B2,48
L F' L D2 L R' U2 F D' R D U' F L F U2 D2 B2 F U B2 R' B2 F2 D2,x2,R' U' B2 F2 R',R' F R F',B2 L U2 L' U2 B2,F U2 F' L' U2 L,R' F R' F' R2,U' L' U' L B L' B' U B L B',U U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,52
B' R2 U F2 B U' B R2 F L2 D' U' B L U D2 B L D R D U' L2,x2,D' L B L2,F' L U2 F' L' F2,B2 R B R' U2 B,R' F U R F',R' B' R2 U B R,U F' U2 R' U' R2 B' R' B2 U' F B',B2 D F2 D R2 F D B' D2 F D' B' U',52
B2 U' B2 F L R B F2 D2 B2 F2 R' L2 D B L' D' F' D' U2 B' D' U2 L',x2,D U' R2 B' F' L' D,B' F' U' B U2 F,U2 L U L',L2 U' L U L2,B L F U' F' L' B',U2 F' U' F2 R U R' U' F2 U2 F,U2,41
B U R L' D F' L F B' D' U' L2 D B F' U2 F2 D2 B F' L' F' D' B2,x2,B' R B2 F U L2,F' U2 F R U R',B' L' U' L U B,U2 R2 F R U F' R,R2 U' F' U F R2,B L F' L F L2 B',F' L F L' R' F L R' F L' F' R2,50
L2 D' B' L U L D2 F L2 F2 L2 R2 B' L' F2 L2 B R2 D R' D2 R,x2,D L R F D' B R,F' U F,U L' U2 L2 U L',U' F R' F R F2,U R' U' R,U L D2 R2 F R2 D2 L2 B L,U2 L U' F R' F' L' F R F' U' L U2 L',50
F2 B' R2 F' B D F' D' R U R L2 U R L U F2 B2 R' F U R F2 B,x2,U' L2 R' B F D',B' R B2 U' B' U R',D' R' U2 R D,R' U R' F2 R F2 R,R B' R' B2 U B',U F' L2 F2 U2 F' L' F U2 F2 L2 F,U F' L F L' R' F L R' F L' F' R2 U,57
F R2 B D2 L' F B L R2 U2 L' R D2 B' R B2 L B R U2 F,x2,U2 F' L D2 L2 F',B' D2 F' D2 B,B' L' B L B,R2 F2 R F2 R,B L U2 L' U2 B',U B' R B2 R' U2 R' U2 R B',R' D B2 L2 D L' F2 L D' L2 B2 D' R,50
D2 L F' R2 U B' F' R' D' R' U R' U2 R U' B2 D2 R L' D',x2,L' U2 R D L2 R,F' U2 F,R B' R2 U2 R U2 B,B' U B2 L2 B' L2,R' U' R U2 B U B',U F U R2 D R' U' R D' R2 F',L' R' U2 L R F U' B U2 F' U B' U',53
D' R' B' D2 B2 U' D2 L2 D' R' U2 D L' D2 L' F' U D' B2 R,x2,R' D' B' L' D' F,U' B' R U2 R' B,U2 R' B' U' B R,L' U2 F' L' F L,L' D L U2 L' D' L,F' U2 F2 U F' U F U2 R' F' R,U2 F2 U' L R' F2 L' R U' F2 U2,53
D2 F B' D' F2 D' L R2 F U' F R F L' B D2 U' F U' R2 U2 R,x2,B2 U L' R2 B D',U2 R2 F R2 F',B' U B,L' F' L' U F L,U R2 U2 B' R' B U2 R2,B U' F' U B' U' F,L' R' U2 L R F U' B U2 F' U B',47
R U2 D2 B2 D' F L U2 L2 R2 F' R2 D' B R2 L2 F B D' U2 L U2 D R,x2,L U R B',F' U' L' U' L U' F,D2 R U' R' D2,B' D2 F2 D2 B,R' U' B' R' B R,F' L2 F2 U2 F' L' F U2 F2 L2 F,U' F2 U' L R' F2 L' R U' F2 U2 U,50
B' F' R2 D U' F2 R2 F U' R2 D' F2 R' U' D F U2 B' R2 F B R2 L' U2,x2,F' D L R B2 F,U F U' F2 U' F,U B' U' B,F U2 F' L' U2 L,U' R' U2 F' U' F U' R,F2 R2 B' R2 F' R B2 U2 B' R' F',U L' U2 L F R U' R' U' F' U' L F' L' F,56
R B2 R D' R2 D2 B2 L2 U D L2 F' U2 L2 U' L' R U' B' D2 B D2 B F2,x2,D L R2 F',U' R U2 R',B U2 B2 U B,U2 L' U B' U B U2 L,U L' B U B' L,B' R2 F R F' R B,U' F2 L2 U' L2 D F2 D' F2 U F2 U',46
D2 R D L F L' B D R' D2 L D' L' F B2 D' B D' U' B' L B2,x2,R D L' R' D B' R,R B U' B2 R B R2,B2 U2 L' B2 L U2 B U' B,B F U B' U2 F',B2 F R2 B2 F' R2,U R B R' F' R U B' U' R' F,U F2 U' L R' F2 L' R U' F2 U2 U2,58
D2 B' R' D' U' B D' R' B' L R' U' R' U' B' U2 D2 R' L2 F B U' B2 R2 F,x2,F' L B D L' R D,R U F R F' R',B' U' B' R B R' U2 B,F R' U R F',U' B U B',U L F' L' F U F U' F',L2 U F' B L2 F B' U L2 U',49
U B D' U' L' U2 D L' D2 U2 F R2 U2 B U2 L2 D B F R2 B' F U' R2,x2,F2 L R D F' L' D,R U F R F' R',D' R2 B' R2 B D,B2 L' B2 U2 L,B U' L U2 L' U2 B',R B2 L' B' L B' R',U L' U2 L F R U' R' U' F' U' L F' L' F,53
B' R F2 B' R F L F D2 L D U' F2 B R L' U' D B F L',x2,R2 B2 R' D' B F,F' U2 F U F' U' F,B' R' U' R U' B,F L U L' F',R' U' R,B' U' R' U R B,U' F2 U' L R' F2 L' R U' F2 U2 U',45
U F2 R' B' L' F2 U2 F' D2 B2 L2 R2 D B' R2 B D U2 B' U B' L' B R2,x2,U2 F2 L B D B,L2 B F2 L2 B' F2,U2 L U' L',U' L2 B' U' B U L2,U' R' U' R,U L' U2 L F R2 B' R' B U2 R' F',U B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2,54
B' D2 U' F2 U2 L' U' R2 L D U' R D2 F R F' R2 L2 D L2 B' D' U R L2,x2,L' R B2 D' F L,R U2 R',L F U F' U L',R2 F R U R F',D L U2 L' D',U L D2 R2 F R2 D2 L2 B L,L U' F R' F' L' F R F' U' L U2 L' U,50
D' U R U' F2 R' U2 D2 F R' B2 U B2 U2 D R B2 F2 D2 R2 L2 D2 R,x2,R' D2 R2 F' D L2,U2 B' R U R' B,B' U2 R' U' R2 B' R' B2,F' U2 F2 U F',B U B',U2 F' U' F2 R U R' U' F2 U2 F,U2 B2 D F2 D R2 F D B' D2 F D' B' U',53
U2 L' B' F2 R B2 D F2 D R2 B D2 L2 U B' F' D2 F2 B' U' D',x2,D' U L' B R,F L F' L' F',L U B2 L B2 L',F2 U F2 U F2 U2 F2,F R' U' R F',U L D2 R2 F R2 D2 L2 B L,F' L F L' R' F L R' F L' F' R2 U,51
B' L' U F' L2 U B' R L2 B' R F' D2 L2 F B' L' R F R',x2,F2 R' D L B F R,F2 L F L' U2 F,L2 F U F' U' L2,U2 F L F L' F',B U' B' U R' U' R,U2 R' F' R B R' U' F U R B',U' U' B2 D' F2 D' L2 F' D' B D2 F' D B,57
U B R2 B L U D B F' U' L F2 D2 R' D R2 B F' R' D',x2,B2 F2 R B' D F',F2 U2 R' U2 R F2,L U2 B' R B L' R',U' F U F',B' R' F R B R2 F' R2,U F2 R2 B' R2 F' R B2 U2 B' R' F',U2 B2 D F2 D R2 F D B' D2 F D' B' U',57
B U' D' B2 D2 L' D2 R' U R2 U2 L U' L2 R2 U2 R2 B' U2 R,x2,L2 U2 B L' D' F',R2 B2 R2 B2,L U2 F' L F L2,L' U' L,B2 U B2 U' B2,B L2 F' L' F L' B',F2 L2 U' L2 D F2 D' F2 U F2 U,42
U' B2 D' F L2 B' D2 B' U' R L' D' F B' R F' D' U L' F' L R2 U R2 B,x2,B2 L' D' R F',U2 L U L',F R' U' R F',R B U2 B' U R',L' U' L F' L F L',F' U2 F2 U F' U F U2 R' F' R,U U' F2 D' L2 U L2 F2 D R2 U' R2 U2,51
R' U' F' U' F' R F' B U L2 R2 U2 D' F R' B2 F L2 F' U,x2,L D L' B F' D',B' L' B2 U L B,R' U' F' U2 F U2 R,R' F R F',R' F U R F',U R B R' F' R U B' U' R' F,U' L2 U F' B L2 F B' U L2 U' U,51
D2 R D2 R' D2 L D U L B' U2 D F' U' R2 U B' D' R2 U F B2,x2,U L2 B' R D R,L2 U L' U' L2,R' F' U2 F R,U R' U2 R2 U R',U L' B' U' B2 L' B' L2,U L' U' L B L' B' U B L B',U B' R B' L2 B R' B' L2 B2 U',52
U2 D' F U' F2 R2 B' U R2 L2 B U2 D R' D2 F' B2 L' U2 R' D2 R2 U2 R2,x2,D' R' D2 B R D,U' L F' L F L' U L',L U' L' B U2 B',B2 R2 B2 R2,U L' U B' U2 B L,U F L' U2 L U2 L F2 L' F,U U' F2 D' L2 U L2 F2 D R2 U' R2 U2,54
L2 R2 U2 L' R F' L U' R B2 R L D' B U2 D2 B2 D2 U2 B D' B',x2,L F2 D B L2 D',B' R' U2 R B,R' U' R U' R' U' R,U B U B' F' U' F,L' B' U2 B L,B L F' L F L2 B',U F2 L2 U' L2 D F2 D' F2 U F2,48
L' U B2 R B R2 U2 D L' R' D2 B U2 R F2 L' U B' F2 U2 B F U',x2,L B' F' L' D B L2,B' U' B,B2 U B' U B U2 B2,U2 F D R D' F',R2 F2 D' F D F R2,L U L' U' L' B L B',U' B2 D' F2 D' L2 F' D' B D2 F' D B,51
F' D2 F' R2 U D' B' R F L' U2 F' B2 L R D2 L2 R2 D F U2,x2,F2 L' U R2 B L' F',B2 D' R2 D B2,U2 R2 D' F2 D R2,F' U2 L F' L' F2,F' U2 F L' U L,B L F' L' B' L F L',R2 F2 D2 L2 F' B' D2 R2 F' B' U,49
F B L' R' U2 F D2 L2 F' L2 F' D L' D F' U F D2 R2 D2 U2 B F',x2,D R B2 D' B L' F',L U2 F U' F' U2 L',R' U' R,U' R U2 R',L2 U L U' L2,U' F U R U' R' U R U' R' F',U2 F2 L2 U' L2 D F2 D' F2 U F2,48
U L2 F2 U' D' F' D' U B' L2 B2 L' F2 B' R2 B' U' D L2 U2 L2 U',x2,L B D L' F2 R',U L U L',R' B' U B R,B' R F R F' R' B,L2 B2 L2 B2,U' F R U R' U' R U R' U' F',U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',52
L B2 L' R B2 U2 D2 B' F2 L R F B L2 F' R' F2 U' F U' D2 L D2 L',x2,R2 B' F' L' R',D2 L U' L' D2,R' B' R2 U' B R,F' U' F,L' R U' R' U L,U2 B' R' U' R U R' U' R U B,U L R U2 R' U' R U2 L' U R' U,48
B R' L2 B' L2 R' F2 R' B' L' U2 L2 B' F' R2 F D2 R' U2 L,x2,B L2 U2 R2,U2 B' U R' U2 R B,R' U2 F' U2 F R,U R U R',F2 U F' U' F2,F R U' B U B' U R' U' F',L R U2 R' U' R U2 L' U R' U,47
L U' F' D' F2 R' F R F2 U' B R2 D2 F R B2 D R D' L U,x2,B2 L2 F R B L',B U2 B2 U' B,U2 L' B' U' B2 U B' L,R U B' R B R2,B U2 B' F U F',B' U2 F' B U L2 U L2 U' L2 F,U F2 U' L R' F2 L' R U' F2 U2 U,54
D B' D2 B2 U2 F' L R' F R' F' U' B' L' D' U F2 U B2 U' D' R2,x2,R D F L',U L2 U F U' F' L2,U B U B',L F' L' U2 F,F U2 F' L' U' L,U2 L F' U' F2 U' F2 U2 F U' L',U2 R2 B2 R F R' B2 R F' R U2 U',49
U R2 D' R2 U L D U B' D B2 D2 B U2 F' R U R' L U2 L' U2,x2,L R B L' D2,L U F' L F L2,B' U B2 U B',D2 B' U' B D2,L' R U L R',U' F' U' L2 D' L U L' D L2 F,U2 L U' F R' F' L' F R F' U' L U2 L' U',52
F' D2 U' L2 U' F' D' L2 R' F U' F D2 L2 U D' R D2 B' L R2 F',x2,F D' B L R,U2 L U L',R' U' R,R U B' R B R2,L2 D' B2 D L2,U2 F2 B' R F' R B U2 B' R F' B,U B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U',51
R' D' R U L' F' L' F' B D2 R B U R2 L B R' L' B' F' D',x2,R' F2 L B' D,L F U2 F' U L',B L' B L B2,B U F' U' B' F,L2 B L B2 U2 B L,F U2 F' U' F U' F',B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,50
D' R2 D' B L F B2 U' L2 B L2 R2 D2 F U' F L' R D' B2 R' U,x2,D U B U2 L' D B,B' U2 B L U L',R' U' B' R' B R,R B U2 B' U R',F' L F L',R' U' R U' R' U2 R,U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,51
F D2 B U' B' L' F2 R L U2 B' R' F R L B' D' L2 B2 U F2 R L U2 L2,x2,F' U L2 R' B F,B' U2 R U2 B' R' B2,B' U B2 U B',F' U F U' F' U' F,U' F' U2 F2 U F',R' U' F' U F R,U' L' B R' U2 L F' L R2 D2 R2 F L' R U',52
